"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"a2-te-infinitives","A2","Using te before an infinitive","Infinitives","Use te with common infinitive-taking verbs, including hoeven in negative sentences.","Distinguish probeer te werken from moet werken and hoef niet te werken.","Some verbs take te before a following infinitive: ik probeer te slapen; zij begint te werken; we hopen te winnen. Learn whether te is required with the first verb. It is not determined by the English word to alone.

The common modals kunnen, mogen, moeten and willen do not take te in this simple pattern. Hoeven is different: ik hoef niet te werken means I do not have to work. Its present forms are hoef, hoeft and hoeven. It normally appears with a negative or restrictive expression, such as niet, geen or alleen maar.

Place other information before te plus the infinitive: ik probeer elke dag te lezen. This lesson uses unprefixed infinitives; the position of te inside a separable verb is introduced shortly.","Learn which first verb requires te: proberen and beginnen do; common modals such as moeten do not; hoeven normally uses te with a negative or restrictive meaning.","Ik probeer elke dag te lezen.","I try to read every day.","Je hoeft morgen niet te werken.","You do not have to work tomorrow.","Do not confuse 'Je hoeft niet te werken' with 'Je mag niet werken': the first removes necessity; the second forbids working.","Complex verb groups can change the behaviour of te. This lesson covers the simple two-verb pattern only.","59","5","false"
"a2-om-te","A2","Explaining a purpose with om ... te","Infinitives","Explain the purpose of an action with om ... te and an infinitive.","Say why someone does something when the actor of the purpose is understood.","Om ... te introduces a purpose: ik ga naar de winkel om brood te kopen. Om opens the purpose phrase, and te comes directly before its infinitive. Other information, such as the object brood, fits between om and te.

In this common pattern, the main subject also performs the intended action: I go and I buy. There is no separate written subject in the om phrase. Do not insert ik after om.

If the intended actor changes, a full clause is often needed instead. For example, ik bel je omdat jij de informatie hebt gives a reason with an explicit different subject; it is not the same purpose construction. Later study adds zodat for goals and results with a full clause.","For a purpose with an understood actor, use om + other information + te + infinitive, without adding a finite verb or a separate subject.","Ik ga naar de winkel om brood te kopen.","I am going to the shop to buy bread.","We nemen de trein om tijd te besparen.","We are taking the train to save time.","Say 'om brood te kopen', not 'om ik brood koop'. A finite clause is a different structure.","Om also occurs in other infinitive constructions; this focused lesson teaches purpose rather than every use of om.","60","4","false"
"a2-separable-clause-forms","A2","Keeping separable verbs together or apart","Separable Verbs","Choose the joined or split form of a separable verb across three familiar clause patterns.","Contrast ik bel op, omdat ik opbel and ik probeer op te bellen.","A finite separable verb splits in a main clause: ik bel mijn moeder op. In a subordinate clause containing that single verb, the prefix joins it at the end: omdat ik mijn moeder opbel. The verb still agrees with its subject: omdat hij opbelt.

After a modal, keep the infinitive together: ik moet mijn moeder opbellen. With te, put te between the separable prefix and the infinitive base, using separate words: ik probeer mijn moeder op te bellen. The perfect participle remains one word: opgebeld.

The same verb therefore changes its written arrangement because its grammatical job changes. Identify whether it is a main-clause finite verb, a subordinate finite verb, a plain infinitive or a te-infinitive before writing it.","Split the finite verb in a main clause, join it at the end of a simple subordinate clause, and place te between prefix and infinitive base.","Ik weet dat de trein om acht uur aankomt.","I know that the train arrives at eight o'clock.","Ik probeer mijn moeder op te bellen.","I am trying to phone my mother.","Write 'op te bellen', not 'te opbellen', in this te-infinitive construction.","The examples use a single finite subordinate verb or a simple te phrase. Complex verb-cluster splitting is reserved for later study.","61","5","false"
"a2-progressive","A2","Saying what is happening right now","Verbs","Describe an activity in progress with aan het or a common posture-verb construction.","Make it explicit that someone is currently reading, cooking or waiting.","Dutch can describe a current action with an ordinary present verb: ik lees. To emphasise that an activity is in progress, use zijn + aan het + infinitive: ik ben aan het lezen. The infinitive stays unchanged and no te is added.

With suitable actions, zitten, staan or liggen plus te and an infinitive can describe what someone is doing while in that position: zij zit te lezen; we staan te wachten; hij ligt te slapen. The posture verb is finite. These expressions often sound natural for ongoing everyday activities.

Do not translate every English -ing form with aan het. A habit such as I work on Mondays normally uses a plain present sentence. This lesson concerns an activity happening at the relevant moment.","Use zijn + aan het + infinitive for an activity in progress, or a suitable posture verb + te + infinitive.","Ik ben aan het koken.","I am cooking.","Zij zit een boek te lezen.","She is sitting reading a book.","Say 'Ik ben aan het koken', not 'Ik ben aan het te koken'. The aan het pattern has no te.","Past and perfect posture-verb groups add complexity and are outside this introductory lesson.","62","4","false"
"a2-comparatives","A2","Comparing two people or things","Comparisons","Compare two things using -er, common irregular forms and dan or even ... als.","Express a difference or equality without copying English more before every adjective.","Many adjectives form a comparative with -er: klein-kleiner, groot-groter and duur-duurder. Spelling preserves the sound: dik-dikker. After an adjective ending in r, -der is common, as in duurder. Learn irregular forms goed-beter, veel-meer and weinig-minder.

Use dan for a difference: deze tas is groter dan die tas. Use even ... als for equality: mijn tas is even groot als jouw tas. In careful standard usage, keep this distinction.

Before a noun, the comparative follows the usual adjective ending pattern: een grotere tas, een groter huis, het grotere huis. After zijn, use the uninflected comparative: dit huis is groter. Some adjectives prefer meer rather than a simple -er form; learn those separately.","Use a comparative such as groter or beter with dan; use even + the base adjective + als for equality.","Deze fiets is goedkoper dan die fiets.","This bicycle is cheaper than that bicycle.","Mijn kamer is even groot als jouw kamer.","My room is as big as your room.","Say 'groter', not 'meer groter'. Do not mark an ordinary comparative twice.","Colloquial comparison patterns vary; these examples use the conventional careful standard distinction between dan and als.","63","5","false"
"a2-superlatives","A2","Saying which is the biggest or best","Comparisons","Identify the highest degree using -st/-ste and common irregular superlatives.","Distinguish the adjective before a noun from het ...st after a verb.","Many superlatives add -st: klein-kleinst and groot-grootst. Before a noun, use the inflected form with -e: de kleinste kamer, het grootste huis. Adjectives ending in s generally add only -t: vers-verst. Some other forms prefer meest, so check unfamiliar adjectives.

After a verb, het plus the uninflected superlative can compare how something is or happens: deze kamer is het grootst; zij loopt het snelst. Learn the irregular set goed-beter-best, veel-meer-meest and weinig-minder-minst.

A superlative compares within a group or relevant set. Make that set clear from the context, such as the available rooms or the people in a race. Do not confuse grootste with comparative grotere.","Use -ste before a noun, as in het grootste huis, and commonly het + -st after a verb, as in dit huis is het grootst.","Dit is de goedkoopste fiets in de winkel.","This is the cheapest bicycle in the shop.","Van deze drie kamers is deze het grootst.","Of these three rooms, this one is the biggest.","Use 'de beste oplossing', not 'de goedste oplossing'. Goed has the irregular superlative best.","A form such as de grootste can also stand alone when a noun is understood. The examples keep the reference explicit.","64","5","false"
"a2-relative-die-dat","A2","Identifying people and things with die and dat","Relative Clauses","Identify a noun using a short relative clause with die or dat.","Connect the person or thing being described to a clause with a final verb.","A relative clause adds information about a preceding noun, called its antecedent. Use die after a singular de-word or any plural, and dat after a singular het-word: de vrouw die hier woont; het boek dat ik lees.

The relative clause uses subordinate word order. Die or dat may itself be the subject: de man die hier werkt. If another subject is present, it follows the relative word: het boek dat ik lees. Do not repeat an object pronoun for the same noun.

Begin with short identifying clauses directly after the noun. Relative clauses about possession or a preposition require additional forms; those are not needed for this basic die/dat pattern.","Relative die refers to de-words and plurals; relative dat refers to singular het-words, with the clause's finite verb at the end.","De vrouw die hier woont, is mijn buurvrouw.","The woman who lives here is my neighbour.","Het boek dat ik lees, is interessant.","The book that I am reading is interesting.","Say 'het boek dat ik lees', not 'het boek dat ik het lees'. Dat already represents the object in this clause.","Relative wie, wat, whose equivalents and prepositional relative constructions are reserved for later study.","65","6","false"
"a2-indirect-questions","A2","Asking questions inside another sentence","Questions","Embed a yes/no or question-word question using subordinate order.","Ask or report what you do not know after weet u or ik weet niet.","A direct question has question order: waar woont hij? Inside another sentence, use subordinate order instead: weet u waar hij woont? Keep the question word but place the subject before the final verb.

For an embedded yes/no question, use of meaning whether: is de winkel open? becomes ik weet niet of de winkel open is. This of introduces a subordinate clause, unlike the coordinating of that links choices.

The outer sentence determines its punctuation. Weet u waar hij woont? is itself a question; ik weet waar hij woont. is a statement. An indirect question does not need direct-question inversion inside the embedded clause.","Keep the question word, or use of for whether, then apply subordinate word order inside the embedded question.","Weet u waar het station is?","Do you know where the station is?","Ik weet niet of de winkel open is.","I do not know whether the shop is open.","Say 'waar het station is', not 'waar is het station', inside 'Weet u ...?'.","If meaning a condition normally uses als; whether inside an embedded yes/no question uses of.","66","5","false"
"a2-fixed-prepositions","A2","Learning verbs with their prepositions","Prepositions","Use a small set of common verbs with their conventional prepositions.","Learn complete combinations such as wachten op and luisteren naar.","Some verbs select a preposition as part of their usual meaning. Learn wachten op (wait for), luisteren naar (listen to), houden van (like/love), denken aan (think of/about) and praten over (talk about) as complete combinations. A literal translation from English may select the wrong preposition or omit one.

A person after the preposition uses an object pronoun: ik wacht op jou; zij denkt aan hem. Keep the preposition even when the English translation has none, as in ik hou van muziek. Both hou and houd occur as the first-person form of houden.

Use full nouns for things while practising. Referring to things with forms such as erop or eraan requires an additional pronominal-adverb pattern, reserved for later study in this curriculum.","Learn a verb's fixed preposition with its meaning and retain that preposition before a noun or person object pronoun.","Ik wacht op de bus.","I am waiting for the bus.","Zij luistert naar haar docent.","She is listening to her teacher.","Say 'wachten op de bus', not 'wachten voor de bus', for waiting for the bus to arrive. Voor can instead describe a location in front of it.","Different prepositions can change a verb's meaning. Keep this small set distinct before adding more combinations.","67","4","false"
"a2-er-place","A2","Referring back to a place with er","Pronouns","Refer back to a known place with unstressed er.","Distinguish a place reference from introducing a new thing with er is.","Er can refer back to a place already established in the conversation: ken je Delft? Ik woon er. In this use, er means there without strong emphasis. Daar can point to or contrast a location more strongly: daar woon ik, niet hier.

Locative er often comes early after the finite verb and subject: ik werk er elke maandag. It does not tell the listener which place you mean unless the context supplies one. Avoid introducing an unexplained er when the location is new.

This differs from existential er in er is een winkel, which introduces the presence of something. Compare er is een school in mijn straat with ik werk er, referring back to that school. More than one use can interact in longer sentences; practise them separately first.","Use unstressed locative er to refer back to a known place, and daar when pointing to or contrasting a place more strongly.","Ken je Delft? Ik woon er.","Do you know Delft? I live there.","Dat is onze school. Ik werk er op maandag.","That is our school. I work there on Mondays.","Do not use er for a new unexplained location: first name the place so the listener knows what er refers to.","Pronominal combinations such as erin and erop are distinct from this simple place-reference lesson.","68","4","false"
"a2-er-quantity","A2","Using er instead of repeating a counted noun","Pronouns","Use er with a number instead of repeating an understood counted noun.","Answer quantity questions with forms such as ik heb er twee.","When a countable noun is already clear, Dutch often uses er with a number instead of repeating that noun: hoeveel fietsen heb je? Ik heb er twee. The number gives the quantity; er links it to the understood kind of thing.

Place er early in the clause and keep the number in the quantity position: ik wil er drie kopen. With geen, a useful answer is ik heb er geen. For a single item, write één if needed to make the number one clear rather than the unstressed article een.

Do not use this construction while also retaining the same noun in an ordinary neutral sentence: ik heb twee fietsen is already complete. This quantitative er differs from locative er meaning there, although context can bring the uses together.","When omitting a known counted noun, use er with its number or geen: ik heb er twee; ik heb er geen.","Hoeveel fietsen heb je? Ik heb er twee.","How many bicycles do you have? I have two.","Deze appels zijn lekker. Ik wil er drie kopen.","These apples are tasty. I want to buy three.","Use either 'Ik heb twee fietsen' or 'Ik heb er twee'; do not add er while retaining fietsen in this neutral pattern.","English usually omits an equivalent of er in these answers. Quantities referring to uncountable substances need separate patterns.","69","5","false"
"a2-duration","A2","Saying how long something has been true","Prepositions","Distinguish an ongoing duration, a starting point, a past interval and a future interval.","Use al, sinds, geleden and over with the appropriate time perspective.","For a situation that started earlier and is still true, Dutch commonly uses the present: ik woon hier al twee jaar. Al introduces the elapsed duration. Sinds gives a starting point: ik werk hier sinds mei. English often needs have lived or have worked for the same meaning.

Geleden points backwards from now to a past event: ik ben twee jaar geleden verhuisd. It follows the time amount. Over points forwards to an event: over twee weken begint de cursus. It comes before the time amount.

Ask hoe lang for duration: hoe lang woon je hier? Ask sinds wanneer for the starting point. Do not choose the Dutch tense by translating English have word for word; decide whether the situation continues now.","Use the present with al + duration or sinds + starting point for an ongoing situation; use amount + geleden for ago and over + amount for a future interval.","Ik woon hier al twee jaar.","I have lived here for two years.","Over twee weken begint de cursus.","The course starts in two weeks.","For ago, put geleden after the amount: 'twee jaar geleden', not 'geleden twee jaar'.","The perfect 'Ik heb hier twee jaar gewoond' can describe a completed stay rather than an ongoing residence.","70","5","false"
"a2-linking-adverbs","A2","Connecting ideas with daarom and toch","Conjunctions","Connect ideas with daarom or toch while preserving main-clause inversion.","Distinguish an opening linking adverb from a coordinating conjunction.","Daarom means therefore or that is why and presents a consequence: het regent; daarom neem ik de bus. Toch can mean nevertheless or still despite that: het regent; toch ga ik wandelen. As opening adverbs, they occupy position one, so the finite verb comes before the subject.

This differs from a coordinating conjunction such as maar: het regent, maar ik ga wandelen. Maar links the clauses outside the following clause's first position. Daarom and toch can also occur later: ik neem daarom de bus; ik ga toch wandelen.

Dus also expresses a consequence. It can function as a coordinator or an adverb, so both dus ik blijf thuis and dus blijf ik thuis occur. Learn the two patterns rather than declaring that dus always requires one order.","Opening daarom or toch fills the first position and requires main-clause inversion; coordinating maar does not fill that position.","Het regent. Daarom neem ik de bus.","It is raining. That is why I am taking the bus.","Ik ben moe. Toch ga ik naar de les.","I am tired. Nevertheless, I am going to the lesson.","Write 'Daarom neem ik de bus', not 'Daarom ik neem de bus'.","Toch also has conversational particle uses. This lesson focuses on its explicit nevertheless meaning.","71","5","false"
"a2-something-adjective","A2","Saying something nice or nothing special","Adjectives","Describe something or nothing using iets/niets/wat followed by an adjective with -s.","Build common phrases such as iets leuks and niets nieuws.","After indefinite quantity words such as iets, niets and conversational wat, many adjectives take -s: iets moois, niets nieuws, wat lekkers. The phrase refers to a thing without naming a noun. It differs from an adjective before a stated noun, as in een mooi boek.

The ending is not a plural ending. Iets leuks can refer to one enjoyable thing. Put the adjective after iets or niets, and do not add an article between them. With negation, niets already means nothing; no additional niet is needed.

Learn frequent phrases first. Adjectives already ending in an s-sound and some uninflected adjective types need separate attention; this lesson does not claim that another written s is added to every possible adjective.","In common noun-free phrases after iets, niets or wat, add -s to an ordinary adjective: iets leuks, niets nieuws, wat lekkers.","Ik wil iets leuks doen.","I want to do something fun.","Er is niets nieuws.","There is nothing new.","Say 'iets leuks', not 'iets leuke'. This construction uses -s rather than the ordinary before-a-noun -e ending.","Forms such as iets fris already end in an s-sound and do not receive an extra written s. Material-adjective exceptions are best checked individually.","72","4","false"
