dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
katoen,cotton,A2,noun,Clothes and appearance,Dit shirt is van katoen.,This shirt is made of cotton.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
wol,wool,A2,noun,Clothes and appearance,De trui is van zachte wol.,The jumper is made of soft wool.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
leer,leather,A2,noun,Clothes and appearance,Deze tas is van leer.,This bag is made of leather.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
lichaam,body,A2,noun,Body and care,Bewegen is goed voor je lichaam.,Exercise is good for your body.,,,het,lichamen,,,,,,,,,false
gezicht,face,A2,noun,Body and care,Was je gezicht met lauw water.,Wash your face with lukewarm water.,,,het,gezichten,,,,,,,,,false
haar,hair,A2,noun,Body and care,Mijn haar is nog nat.,My hair is still wet.,,,het,haren,,,,,,,,,false
huid,skin,A2,noun,Body and care,Deze crème is voor droge huid.,This cream is for dry skin.,,,de,huiden,,,,,,,,,false
hals,neck (front),A2,noun,Body and care,De sjaal zit om mijn hals.,The scarf is around my neck.,Usually the front or whole neck; nek commonly refers to the back of the neck.,,de,halzen,,,,,,,,,false
nek,neck (back),A2,noun,Body and care,Mijn nek is stijf.,My neck is stiff.,Back of the neck; see hals for the front or whole neck.,,de,nekken,,,,,,,,,false
schouder,shoulder,A2,noun,Body and care,Mijn tas hangt aan mijn schouder.,My bag hangs from my shoulder.,,,de,schouders,,,,,,,,,false
elleboog,elbow,A2,noun,Body and care,Ik stoot mijn elleboog tegen de deur.,I bump my elbow against the door.,,,de,ellebogen,,,,,,,,,false
pols,wrist,A2,noun,Body and care,Het horloge zit om mijn pols.,The watch is on my wrist.,,,de,polsen,,,,,,,,,false
vinger,finger,A2,noun,Body and care,Er zit een ring om haar vinger.,There is a ring on her finger.,,,de,vingers,,,,,,,,,false
duim,thumb,A2,noun,Body and care,Hij steekt zijn duim omhoog.,He gives a thumbs-up.,,,de,duimen,,,,,,,,,false
nagel,nail (finger or toe),A2,noun,Body and care,Mijn nagel is gebroken.,My nail has broken.,,,de,nagels,,,,,,,,,false
knie,knee,A2,noun,Body and care,Mijn knie doet pijn bij het lopen.,My knee hurts when I walk.,,,de,knieën,,,,,,,,,false
enkel,ankle,A2,noun,Body and care,Ik heb mijn enkel bezeerd.,I have hurt my ankle.,,,de,enkels,,,,,,,,,false
teen,toe,A2,noun,Body and care,Ik stoot mijn teen tegen het bed.,I stub my toe against the bed.,,,de,tenen,,,,,,,,,false
hart,heart,A2,noun,Body and care,Mijn hart klopt snel.,My heart is beating fast.,,,het,harten,,,,,,,,,false
maag,stomach,A2,noun,Body and care,Mijn maag is van streek.,My stomach is upset.,,,de,magen,,,,,,,,,false
keel,throat,A2,noun,Body and care,Mijn keel doet pijn.,My throat hurts.,,,de,kelen,,,,,,,,,false
tandenborstel,toothbrush,A2,noun,Body and care,Pak je tandenborstel en tandpasta.,Get your toothbrush and toothpaste.,,,de,tandenborstels,,,,,,,,,false
tandpasta,toothpaste,A2,noun,Body and care,De tandpasta is bijna op.,The toothpaste has nearly run out.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
huisarts,general practitioner,A2,noun,Health and appointments,Ik maak een afspraak bij de huisarts.,I am making an appointment with the GP.,,,de,huisartsen,,,,,,,,,false
tandarts,dentist,A2,noun,Health and appointments,Ik ga morgen naar de tandarts.,I am going to the dentist tomorrow.,,,de,tandartsen,,,,,,,,,false
verpleegkundige,nurse,A2,noun,Health and appointments,De verpleegkundige stelt me een vraag.,The nurse asks me a question.,,,de,verpleegkundigen,,,,,,,,,false
patiënt,patient,A2,noun,Health and appointments,De patiënt wacht op de dokter.,The patient waits for the doctor.,,,de,patiënten,,,,,,,,,false
wachtkamer,waiting room,A2,noun,Health and appointments,Neem plaats in de wachtkamer.,Take a seat in the waiting room.,,,de,wachtkamers,,,,,,,,,false
spreekuur,consultation hours,A2,noun,Health and appointments,Het spreekuur begint om acht uur.,Consultation hours start at eight.,,,het,spreekuren,,,,,,,,,false
medicijn,medicine,A2,noun,Health and appointments,Ik haal mijn medicijn bij de apotheek.,I collect my medicine from the pharmacy.,,,het,medicijnen,,,,,,,,,false
tablet,tablet (medicine),A2,noun,Health and appointments,Op het doosje staat hoeveel tabletten nodig zijn.,The box states how many tablets are needed.,A medicine tablet here. A tablet computer is het tablet and is not a second entry.,,de,tabletten,,,,,,,,,false
pleister,plaster / bandage strip,A2,noun,Health and appointments,Ik plak een pleister op mijn vinger.,I put a plaster on my finger.,,,de,pleisters,,,,,,,,,false
wond,wound,A2,noun,Health and appointments,De wond is klein.,The wound is small.,,,de,wonden,,,,,,,,,false
koorts,fever,A2,noun,Health and appointments,Het kind heeft koorts.,The child has a fever.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
griep,flu,A2,noun,Health and appointments,Mijn collega is thuis met griep.,My colleague is at home with flu.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
verkoudheid,cold (illness),A2,noun,Health and appointments,Door mijn verkoudheid ruik ik weinig.,Because of my cold I cannot smell much.,,,de,verkoudheden,,,,,,,,,false
hoofdpijn,headache,A2,noun,Health and appointments,Van dat lawaai krijg ik hoofdpijn.,That noise gives me a headache.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
buikpijn,stomach ache,A2,noun,Health and appointments,Zij heeft sinds gisteren buikpijn.,She has had a stomach ache since yesterday.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
allergie,allergy,A2,noun,Health and appointments,Hebt u een allergie?,Do you have an allergy?,,,de,allergieën,,,,,,,,,false
ongeluk,accident,A2,noun,Health and appointments,Er is een ongeluk op de weg.,There is an accident on the road.,,,het,ongelukken,,,,,,,,,false
ambulance,ambulance,A2,noun,Health and appointments,De ambulance staat voor het ziekenhuis.,The ambulance is outside the hospital.,,,de,ambulances,,,,,,,,,false
hulp,help,A2,noun,Health and appointments,Bedankt voor je hulp bij het verhuizen.,Thank you for helping with the move.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
zorg,care,A2,noun,Health and appointments,Mijn oma heeft extra zorg nodig.,My grandma needs extra care.,,,de,zorgen,,,,,,,,,false
beroep,occupation,A2,noun,Jobs and workplaces,Wat is uw beroep?,What is your occupation?,,,het,beroepen,,,,,,,,,false
bedrijf,company,A2,noun,Jobs and workplaces,Dit bedrijf maakt meubels.,This company makes furniture.,,,het,bedrijven,,,,,,,,,false
werkgever,employer,A2,noun,Jobs and workplaces,Mijn werkgever betaalt mijn reiskosten.,My employer pays my travel expenses.,,,de,werkgevers,,,,,,,,,false
werknemer,employee,A2,noun,Jobs and workplaces,Elke werknemer krijgt een sleutel.,Every employee gets a key.,,,de,werknemers,,,,,,,,,false
baas,boss,A2,noun,Jobs and workplaces,Mijn baas is vandaag afwezig.,My boss is absent today.,,,de,bazen,,,,,,,,,false
manager,manager,A2,noun,Jobs and workplaces,De manager leidt het team.,The manager leads the team.,,,de,managers,,,,,,,,,false
team,team,A2,noun,Jobs and workplaces,Ons team werkt goed samen.,Our team works well together.,,,het,teams,,,,,,,,,false
afdeling,department,A2,noun,Jobs and workplaces,Ik werk op een andere afdeling.,I work in a different department.,,,de,afdelingen,,,,,,,,,false
fabriek,factory,A2,noun,Jobs and workplaces,De fabriek staat buiten de stad.,The factory is outside the city.,,,de,fabrieken,,,,,,,,,false
magazijn,warehouse / storeroom,A2,noun,Jobs and workplaces,De dozen staan in het magazijn.,The boxes are in the warehouse.,,,het,magazijnen,,,,,,,,,false
werkplaats,workshop,A2,noun,Jobs and workplaces,De monteur werkt in de werkplaats.,The mechanic works in the workshop.,,,de,werkplaatsen,,,,,,,,,false
bouwplaats,building site,A2,noun,Jobs and workplaces,Op de bouwplaats draag je een helm.,You wear a helmet on the building site.,,,de,bouwplaatsen,,,,,,,,,false
boerderij,farm,A2,noun,Jobs and workplaces,Mijn oom heeft een boerderij.,My uncle has a farm.,,,de,boerderijen,,,,,,,,,false
kok,cook / chef,A2,noun,Jobs and workplaces,De kok maakt verse soep.,The cook makes fresh soup.,,,de,koks,,,,,,,,,false
ober,waiter,A2,noun,Jobs and workplaces,De ober brengt de menukaart.,The waiter brings the menu.,,,de,obers,,,,,,,,,false
chauffeur,driver,A2,noun,Jobs and workplaces,De chauffeur stopt bij elke halte.,The driver stops at every stop.,,,de,chauffeurs,,,,,,,,,false
monteur,mechanic,A2,noun,Jobs and workplaces,De monteur repareert mijn fiets.,The mechanic repairs my bicycle.,,,de,monteurs,,,,,,,,,false
kapper,hairdresser,A2,noun,Jobs and workplaces,Ik ga vrijdag naar de kapper.,I am going to the hairdresser on Friday.,,,de,kappers,,,,,,,,,false
schoonmaker,cleaner,A2,noun,Jobs and workplaces,De schoonmaker begint vroeg.,The cleaner starts early.,,,de,schoonmakers,,,,,,,,,false
bezorger,delivery person,A2,noun,Jobs and workplaces,De bezorger brengt een pakket.,The delivery person brings a parcel.,,,de,bezorgers,,,,,,,,,false
vacature,job vacancy,A2,noun,Working life,Ik heb een leuke vacature gevonden.,I have found an interesting job vacancy.,,,de,vacatures,,,,,,,,,false
sollicitatie,job application,A2,noun,Working life,Mijn sollicitatie is verstuurd.,My job application has been sent.,,,de,sollicitaties,,,,,,,,,false
sollicitatiegesprek,job interview,A2,noun,Working life,Mijn sollicitatiegesprek is morgen.,My job interview is tomorrow.,,,het,sollicitatiegesprekken,,,,,,,,,false
ervaring,experience,A2,noun,Working life,Ik heb ervaring in een winkel.,I have experience working in a shop.,,,de,ervaringen,,,,,,,,,false
opleiding,training / course of study,A2,noun,Working life,Welke opleiding heb je gevolgd?,What course of study did you take?,,,de,opleidingen,,,,,,,,,false
contract,contract,A2,noun,Working life,Mijn contract loopt tot december.,My contract runs until December.,,,het,contracten,,,,,,,,,false
salaris,salary,A2,noun,Working life,Ik krijg mijn salaris aan het einde van de maand.,I receive my salary at the end of the month.,,,het,salarissen,,,,,,,,,false
loon,pay / wages,A2,noun,Working life,Het loon wordt elke week betaald.,The wages are paid every week.,,,het,lonen,,,,,,,,,false
werkdag,working day,A2,noun,Working life,Mijn werkdag begint om acht uur.,My working day starts at eight.,,,de,werkdagen,,,,,,,,,false
werktijd,working hours,A2,noun,Working life,Tijdens werktijd gebruik ik mijn telefoon niet.,I do not use my phone during working hours.,,,de,werktijden,,,,,,,,,false
dienst,shift,A2,noun,Working life,Mijn dienst begint vanavond.,My shift starts this evening.,,,de,diensten,,,,,,,,,false
pauze,break,A2,noun,Working life,Na twee uur nemen we pauze.,After two hours we take a break.,,,de,pauzes,,,,,,,,,false
vergadering,meeting,A2,noun,Working life,De vergadering duurt een uur.,The meeting lasts an hour.,,,de,vergaderingen,,,,,,,,,false
taak,task,A2,noun,Working life,Dit is mijn laatste taak vandaag.,This is my last task today.,,,de,taken,,,,,,,,,false
opdracht,assignment,A2,noun,Working life,Ik begrijp de opdracht niet.,I do not understand the assignment.,,,de,opdrachten,,,,,,,,,false
planning,schedule / planning,A2,noun,Working life,De planning hangt aan de muur.,The schedule is on the wall.,,,de,planningen,,,,,,,,,false
rooster,timetable / rota,A2,noun,Working life,Mijn naam staat op het rooster.,My name is on the rota.,,,het,roosters,,,,,,,,,false
verlof,leave (from work),A2,noun,Working life,Ik vraag twee dagen verlof aan.,I am requesting two days of leave.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
pensioen,pension / retirement,A2,noun,Working life,Mijn vader gaat volgend jaar met pensioen.,My father retires next year.,,,het,pensioenen,,,,,,,,,false
vrijwilliger,volunteer,A2,noun,Working life,Ik werk als vrijwilliger in de bibliotheek.,I work as a volunteer in the library.,,,de,vrijwilligers,,,,,,,,,false
cursus,course,A2,noun,Education,Deze cursus duurt drie maanden.,This course lasts three months.,,,de,cursussen,,,,,,,,,false
klas,class (school),A2,noun,Education,Er zitten twintig leerlingen in de klas.,There are twenty pupils in the class.,,,de,klassen,,,,,,,,,false
lokaal,classroom,A2,noun,Education,Onze les is in lokaal tien.,Our lesson is in classroom ten.,,,het,lokalen,,,,,,,,,false
leerling,pupil,A2,noun,Education,Elke leerling krijgt een boek.,Every pupil receives a book.,,,de,leerlingen,,,,,,,,,false
docent,teacher / instructor,A2,noun,Education,De docent beantwoordt mijn vraag.,The teacher answers my question.,,,de,docenten,,,,,,,,,false
klasgenoot,classmate,A2,noun,Education,Ik oefen met een klasgenoot.,I practise with a classmate.,,,de,klasgenoten,,,,,,,,,false
schoolplein,school playground,A2,noun,Education,De kinderen spelen op het schoolplein.,The children play in the school playground.,,,het,schoolpleinen,,,,,,,,,false
basisschool,primary school,A2,noun,Education,Mijn dochter gaat naar de basisschool.,My daughter goes to primary school.,,,de,basisscholen,,,,,,,,,false
middelbare school,secondary school,A2,noun,Education,Mijn zoon begint op de middelbare school.,My son is starting secondary school.,,,de,middelbare scholen,,,,,,,,,false
universiteit,university,A2,noun,Education,Zij studeert aan de universiteit.,She studies at university.,,,de,universiteiten,,,,,,,,,false
stage,work placement,A2,noun,Education,Ik loop stage in een hotel.,I am doing a work placement in a hotel.,,,de,stages,,,,,,,,,false
huiswerk,homework,A2,noun,Education,Mijn huiswerk is bijna af.,My homework is almost finished.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
oefening,exercise,A2,noun,Education,Maak eerst de laatste oefening.,Do the last exercise first.,,,de,oefeningen,,,,,,,,,false
toets,test (school),A2,noun,Education,Morgen hebben we een toets.,Tomorrow we have a test.,,,de,toetsen,,,,,,,,,false
examen,exam,A2,noun,Education,Ik moet nog één examen doen.,I still have one exam to take.,,,het,examens,,,,,,,,,false
diploma,diploma / qualification,A2,noun,Education,Zij heeft haar diploma gehaald.,She has earned her diploma.,,,het,diploma's,,,,,,,,,false
cijfer,mark / digit,A2,noun,Education,Ik heb een goed cijfer gekregen.,I received a good mark.,,,het,cijfers,,,,,,,,,false
resultaat,result,A2,noun,Education,Het resultaat staat online.,The result is online.,,,het,resultaten,,,,,,,,,false
fout,mistake,A2,noun,Education,Ik verbeter een fout in mijn tekst.,I correct a mistake in my text.,,,de,fouten,,,,,,,,,false
uitleg,explanation,A2,noun,Education,Bedankt voor de duidelijke uitleg.,Thank you for the clear explanation.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
betekenis,meaning,A2,noun,Language and study materials,Wat is de betekenis van dit woord?,What is the meaning of this word?,,,de,betekenissen,,,,,,,,,false
vertaling,translation,A2,noun,Language and study materials,De vertaling staat onder de zin.,The translation is below the sentence.,,,de,vertalingen,,,,,,,,,false
uitspraak,pronunciation,A2,noun,Language and study materials,Ik oefen de uitspraak van deze woorden.,I practise the pronunciation of these words.,,,de,uitspraken,,,,,,,,,false
spelling,spelling,A2,noun,Language and study materials,Controleer de spelling van je naam.,Check the spelling of your name.,,,de,spellingen,,,,,,,,,false
grammatica,grammar,A2,noun,Language and study materials,Vandaag oefenen we grammatica.,Today we practise grammar.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
letter,letter (alphabet),A2,noun,Language and study materials,Mijn naam begint met deze letter.,My name begins with this letter.,,,de,letters,,,,,,,,,false
alfabet,alphabet,A2,noun,Language and study materials,We leren het Nederlandse alfabet.,We are learning the Dutch alphabet.,,,het,alfabetten,,,,,,,,,false
tekst,text,A2,noun,Language and study materials,Lees de tekst twee keer.,Read the text twice.,,,de,teksten,,,,,,,,,false
verhaal,story,A2,noun,Language and study materials,Mijn opa vertelt een verhaal.,My grandpa tells a story.,,,het,verhalen,,,,,,,,,false
pagina,page,A2,noun,Language and study materials,Open je boek op pagina tien.,Open your book at page ten.,,,de,pagina's,,,,,,,,,false
hoofdstuk,chapter,A2,noun,Language and study materials,Het volgende hoofdstuk gaat over reizen.,The next chapter is about travel.,,,het,hoofdstukken,,,,,,,,,false
titel,title,A2,noun,Language and study materials,Wat is de titel van het boek?,What is the title of the book?,,,de,titels,,,,,,,,,false
voorbeeld,example,A2,noun,Language and study materials,Kunt u een voorbeeld geven?,Could you give an example?,,,het,voorbeelden,,,,,,,,,false
regel,rule / line,A2,noun,Language and study materials,Deze regel geldt voor iedereen.,This rule applies to everyone.,,,de,regels,,,,,,,,,false
woordenboek,dictionary,A2,noun,Language and study materials,Zoek het woord in het woordenboek.,Look up the word in the dictionary.,,,het,woordenboeken,,,,,,,,,false
gum,eraser,A2,noun,Language and study materials,Mag ik je gum lenen?,May I borrow your eraser?,,,de,gummen,,,,,,,,,false
liniaal,ruler,A2,noun,Language and study materials,Teken een lijn met je liniaal.,Draw a line with your ruler.,,,de,linialen,,,,,,,,,false
map,folder,A2,noun,Language and study materials,Bewaar de papieren in deze map.,Keep the papers in this folder.,,,de,mappen,,,,,,,,,false
schaar,scissors,A2,noun,Language and study materials,Deze schaar knipt niet goed.,These scissors do not cut well.,,,de,scharen,,,,,,,,,false
lijm,glue,A2,noun,Language and study materials,De lijm moet nog drogen.,The glue still needs to dry.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
vervoer,transport,A2,noun,Public transport,Het openbaar vervoer rijdt ook op zondag.,Public transport runs on Sundays too.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
reiziger,traveller,A2,noun,Public transport,De reiziger vraagt om informatie.,The traveller asks for information.,,,de,reizigers,,,,,,,,,false
passagier,passenger,A2,noun,Public transport,Elke passagier heeft een zitplaats.,Every passenger has a seat.,,,de,passagiers,,,,,,,,,false
conducteur,train conductor,A2,noun,Public transport,De conducteur controleert mijn kaartje.,The conductor checks my ticket.,,,de,conducteurs,,,,,,,,,false
perron,platform,A2,noun,Public transport,De trein vertrekt van perron vier.,The train leaves from platform four.,,,het,perrons,,,,,,,,,false
spoor,track,A2,noun,Public transport,Let op de wijziging van het spoor.,Watch out for the change of track.,,,het,sporen,,,,,,,,,false
vertrek,departure,A2,noun,Public transport,Het vertrek is om half negen.,Departure is at half past eight.,,,het,vertrekken,,,,,,,,,false
aankomst,arrival,A2,noun,Public transport,De aankomst is een uur later.,Arrival is one hour later.,,,de,aankomsten,,,,,,,,,false
vertraging,delay,A2,noun,Public transport,De trein heeft tien minuten vertraging.,The train is ten minutes late.,,,de,vertragingen,,,,,,,,,false
overstap,connection / change of train,A2,noun,Public transport,Ik heb vijf minuten voor de overstap.,I have five minutes to change trains.,,,de,overstappen,,,,,,,,,false
verbinding,connection,A2,noun,Public transport,Er is een directe verbinding met de stad.,There is a direct connection to the city.,,,de,verbindingen,,,,,,,,,false
retour,return ticket,A2,noun,Public transport,Een retour is goedkoper dan twee enkele reizen.,A return ticket is cheaper than two singles.,A return ticket in travel contexts. Also used adverbially for a return journey.,,het,retours,,,,,,,,,false
enkele reis,one-way journey / single ticket,A2,noun,Public transport,Ik wil een enkele reis naar Utrecht.,I would like a single ticket to Utrecht.,,,de,enkele reizen,,,,,,,,,false
abonnement,subscription / season ticket,A2,noun,Public transport,Mijn abonnement is een maand geldig.,My season ticket is valid for a month.,,,het,abonnementen,,,,,,,,,false
vervoersbewijs,travel ticket / pass,A2,noun,Public transport,Houd uw vervoersbewijs bij de hand.,Keep your travel ticket ready.,,,het,vervoersbewijzen,,,,,,,,,false
automaat,vending machine,A2,noun,Public transport,Koop een kaartje bij de automaat.,Buy a ticket from the machine.,,,de,automaten,,,,,,,,,false
zitplaats,seat,A2,noun,Public transport,Is deze zitplaats vrij?,Is this seat free?,,,de,zitplaatsen,,,,,,,,,false
route,route,A2,noun,Public transport,Welke route is het snelst?,Which route is fastest?,,,de,routes,,,,,,,,,false
dienstregeling,transport timetable,A2,noun,Public transport,De nieuwe dienstregeling begint maandag.,The new timetable starts on Monday.,,,de,dienstregelingen,,,,,,,,,false
taxi,taxi,A2,noun,Public transport,We nemen een taxi naar het hotel.,We are taking a taxi to the hotel.,,,de,taxi's,,,,,,,,,false
verkeer,traffic,A2,noun,Roads and cycling,Er is veel verkeer op deze weg.,There is a lot of traffic on this road.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
file,traffic jam,A2,noun,Roads and cycling,We staan al een uur in de file.,We have been stuck in traffic for an hour.,,,de,files,,,,,,,,,false
snelweg,motorway,A2,noun,Roads and cycling,Neem de snelweg richting het zuiden.,Take the motorway towards the south.,,,de,snelwegen,,,,,,,,,false
kruispunt,junction,A2,noun,Roads and cycling,Ga bij het kruispunt linksaf.,Turn left at the junction.,,,het,kruispunten,,,,,,,,,false
rotonde,roundabout,A2,noun,Roads and cycling,Neem de tweede afslag op de rotonde.,Take the second exit at the roundabout.,,,de,rotondes,,,,,,,,,false
verkeerslicht,traffic light,A2,noun,Roads and cycling,Het verkeerslicht staat op rood.,The traffic light is red.,,,het,verkeerslichten,,,,,,,,,false
zebrapad,pedestrian crossing,A2,noun,Roads and cycling,Steek over bij het zebrapad.,Cross at the pedestrian crossing.,,,het,zebrapaden,,,,,,,,,false
stoep,pavement,A2,noun,Roads and cycling,Loop op de stoep.,Walk on the pavement.,,,de,stoepen,,,,,,,,,false
fietspad,cycle path,A2,noun,Roads and cycling,Dit fietspad gaat door het park.,This cycle path goes through the park.,,,het,fietspaden,,,,,,,,,false
afslag,turn-off / exit,A2,noun,Roads and cycling,We hebben de afslag gemist.,We missed the turn-off.,,,de,afslagen,,,,,,,,,false
richting,direction,A2,noun,Roads and cycling,In welke richting ligt het station?,In which direction is the station?,,,de,richtingen,,,,,,,,,false
afstand,distance,A2,noun,Roads and cycling,Wat is de afstand naar school?,What is the distance to school?,,,de,afstanden,,,,,,,,,false
kilometer,kilometre,A2,noun,Roads and cycling,Het is nog één kilometer lopen.,It is another kilometre on foot.,,,de,kilometers,,,,,,,,,false
parkeerplaats,parking space,A2,noun,Roads and cycling,Er is geen vrije parkeerplaats.,There is no free parking space.,,,de,parkeerplaatsen,,,,,,,,,false
rijbewijs,driving licence,A2,noun,Roads and cycling,Heb je al een rijbewijs?,Do you have a driving licence yet?,,,het,rijbewijzen,,,,,,,,,false
benzine,petrol,A2,noun,Roads and cycling,We moeten benzine tanken.,We need to fill up with petrol.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
band,tyre,A2,noun,Roads and cycling,Mijn band is lek.,My tyre is flat.,,,de,banden,,,,,,,,,false
rem,brake,A2,noun,Roads and cycling,De rem van mijn fiets werkt niet.,My bicycle's brake does not work.,,,de,remmen,,,,,,,,,false
stuur,handlebars / steering wheel,A2,noun,Roads and cycling,Houd beide handen aan het stuur.,Keep both hands on the handlebars.,,,het,sturen,,,,,,,,,false
helm,helmet,A2,noun,Roads and cycling,Draag een helm op de scooter.,Wear a helmet on the scooter.,,,de,helmen,,,,,,,,,false
luchthaven,airport,A2,noun,Travel and accommodation,We zijn vroeg op de luchthaven.,We are early at the airport.,,,de,luchthavens,,,,,,,,,false
vlucht,flight,A2,noun,Travel and accommodation,Onze vlucht vertrekt om tien uur.,Our flight departs at ten.,,,de,vluchten,,,,,,,,,false
bagage,luggage,A2,noun,Travel and accommodation,Hoeveel bagage mag ik meenemen?,How much luggage may I take?,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
handbagage,hand luggage,A2,noun,Travel and accommodation,Deze tas mag mee als handbagage.,This bag can be taken as hand luggage.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
instapkaart,boarding pass,A2,noun,Travel and accommodation,Laat uw instapkaart zien.,Show your boarding pass.,,,de,instapkaarten,,,,,,,,,false
douane,customs,A2,noun,Travel and accommodation,Bij de douane moet ik mijn koffer openen.,I have to open my suitcase at customs.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
grens,border,A2,noun,Travel and accommodation,We rijden de grens over.,We drive across the border.,,,de,grenzen,,,,,,,,,false
bestemming,destination,A2,noun,Travel and accommodation,Wat is uw eindbestemming?,What is your final destination?,,,de,bestemmingen,,,,,,,,,false
reservering,reservation,A2,noun,Travel and accommodation,Ik heb een reservering voor twee nachten.,I have a reservation for two nights.,,,de,reserveringen,,,,,,,,,false
receptie,reception desk,A2,noun,Travel and accommodation,Haal je sleutel bij de receptie.,Collect your key at reception.,,,de,recepties,,,,,,,,,false
overnachting,overnight stay,A2,noun,Travel and accommodation,Het ontbijt hoort bij de overnachting.,Breakfast is included in the overnight stay.,,,de,overnachtingen,,,,,,,,,false
camping,campsite,A2,noun,Travel and accommodation,De camping ligt bij een meer.,The campsite is beside a lake.,,,de,campings,,,,,,,,,false
tent,tent,A2,noun,Travel and accommodation,We slapen in een tent.,We sleep in a tent.,,,de,tenten,,,,,,,,,false
caravan,caravan,A2,noun,Travel and accommodation,Onze caravan staat onder een boom.,Our caravan is under a tree.,,,de,caravans,,,,,,,,,false
slaapzak,sleeping bag,A2,noun,Travel and accommodation,Mijn slaapzak is warm genoeg.,My sleeping bag is warm enough.,,,de,slaapzakken,,,,,,,,,false
toerist,tourist,A2,noun,Travel and accommodation,De toerist maakt een foto.,The tourist takes a photo.,,,de,toeristen,,,,,,,,,false
gids,guide,A2,noun,Travel and accommodation,De gids vertelt over de stad.,The guide talks about the city.,,,de,gidsen,,,,,,,,,false
plattegrond,street map / floor plan,A2,noun,Travel and accommodation,Op de plattegrond zie je het museum.,You can see the museum on the map.,,,de,plattegronden,,,,,,,,,false
uitstapje,day trip / outing,A2,noun,Travel and accommodation,We maken een uitstapje naar zee.,We are taking a day trip to the seaside.,,,het,uitstapjes,,,,,,,,,false
souvenir,souvenir,A2,noun,Travel and accommodation,Ik koop een souvenir voor mijn ouders.,I buy a souvenir for my parents.,,,het,souvenirs,,,,,,,,,false
museum,museum,A2,noun,Places to visit,Het museum is op maandag gesloten.,The museum is closed on Mondays.,,,het,musea,,,,,,,,,false
theater,theatre,A2,noun,Places to visit,Het theater ligt naast de bibliotheek.,The theatre is next to the library.,,,het,theaters,,,,,,,,,false
bioscoop,cinema,A2,noun,Places to visit,We gaan naar de bioscoop.,We are going to the cinema.,,,de,bioscopen,,,,,,,,,false
kerk,church,A2,noun,Places to visit,De oude kerk staat op het plein.,The old church stands in the square.,,,de,kerken,,,,,,,,,false
moskee,mosque,A2,noun,Places to visit,De moskee ligt in onze buurt.,The mosque is in our neighbourhood.,,,de,moskeeën,,,,,,,,,false
kasteel,castle,A2,noun,Places to visit,We bezoeken een kasteel.,We are visiting a castle.,,,het,kastelen,,,,,,,,,false
toren,tower,A2,noun,Places to visit,Vanaf de toren zie je de hele stad.,From the tower you can see the whole city.,,,de,torens,,,,,,,,,false
haven,harbour,A2,noun,Places to visit,De boten liggen in de haven.,The boats are in the harbour.,,,de,havens,,,,,,,,,false
dierentuin,zoo,A2,noun,Places to visit,Zondag gaan we naar de dierentuin.,We are going to the zoo on Sunday.,,,de,dierentuinen,,,,,,,,,false
speeltuin,playground,A2,noun,Places to visit,De kinderen willen naar de speeltuin.,The children want to go to the playground.,,,de,speeltuinen,,,,,,,,,false
pretpark,amusement park,A2,noun,Places to visit,Het pretpark opent om tien uur.,The amusement park opens at ten.,,,het,pretparken,,,,,,,,,false
fontein,fountain,A2,noun,Places to visit,We spreken af bij de fontein.,We will meet at the fountain.,,,de,fonteinen,,,,,,,,,false
standbeeld,statue,A2,noun,Places to visit,Er staat een standbeeld voor het museum.,There is a statue in front of the museum.,,,het,standbeelden,,,,,,,,,false
centrum,centre,A2,noun,Places to visit,We lopen naar het centrum.,We are walking to the centre.,,,het,centra,,,,,,,,,false
terras,outdoor café seating / terrace,A2,noun,Places to visit,We drinken iets op het terras.,We have a drink on the terrace.,,,het,terrassen,,,,,,,,,false
uitzicht,view,A2,noun,Places to visit,De kamer heeft een prachtig uitzicht.,The room has a beautiful view.,,,het,uitzichten,,,,,,,,,false
bezienswaardigheid,sight / tourist attraction,A2,noun,Places to visit,Deze kerk is een bekende bezienswaardigheid.,This church is a well-known tourist attraction.,,,de,bezienswaardigheden,,,,,,,,,false
