dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
anker,anchor,B2,noun,"People, objects and abstract concepts",Elk schip heeft een anker nodig.,Every ship needs an anchor.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/anker#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/12330181) and Spamster (English, https://tatoeba.org/en/sentences/show/1349176); CC BY 2.0 FR.",B2;production,het,ankers,ankertje,,,,,,,,false
antenne,antenna,B2,noun,"People, objects and abstract concepts",Op de top staat een antenne.,There is an antenna at the top.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/antenne#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8317553) and Nylez (English, https://tatoeba.org/en/sentences/show/8969244); CC BY 2.0 FR.",B2;production,de,antennes / antennen,antennetje,,,,,,,,false
applaus,applause,B2,noun,"People, objects and abstract concepts",Laten we hem een applaus geven!,Let's give him a round of applause!,"No usual plural in this sense. Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/applaus#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/9031755) and doemaar14 (English, https://tatoeba.org/en/sentences/show/11784783); CC BY 2.0 FR.",B2;production,het,,,,,,,,,,false
applicatie,"application, act or process of applying something",B2,noun,"People, objects and abstract concepts",Je moet dubbelklikken op het icoontje van de applicatie om haar te openen.,You need to double-click on the application's icon to open the application.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/applicatie#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/4782736) and CK (English, https://tatoeba.org/en/sentences/show/2954629); CC BY 2.0 FR.",B2;production,de,applicaties,applicatietje,,,,,,,,false
aquarium,aquarium,B2,noun,"People, objects and abstract concepts",Er leeft slechts één vis in het aquarium.,Only one fish lives in the aquarium.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aquarium#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/10871813) and ariarin (English, https://tatoeba.org/en/sentences/show/9719664); CC BY 2.0 FR.",B2;production,het,aquaria / aquariums,aquariumpje,,,,,,,,false
arbeider,"worker, labourer",B2,noun,"People, objects and abstract concepts",De jongen wil later een arbeider worden.,The boy wants to become a labourer in the future.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/arbeider#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,de,arbeiders,arbeidertje,,,,,,,,false
archeoloog,archaeologist,B2,noun,"People, objects and abstract concepts",De archeoloog vond de ingang naar de tombe.,The archaeologist found the entrance to the tomb.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/archeoloog#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8499663) and shekitten (English, https://tatoeba.org/en/sentences/show/9415275); CC BY 2.0 FR.",B2;production,de,archeologen,archeoloogje,,,,,,,,false
archief,archive,B2,noun,"People, objects and abstract concepts",Bevat de website van ALC een archief van Engelse uitdrukkingen?,Does ALC's web site include an archive of English expressions?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/archief#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/10738125) and Dejo (English, https://tatoeba.org/en/sentences/show/67316); CC BY 2.0 FR.",B2;production,het,archieven,archiefje,,,,,,,,false
architect,architect,B2,noun,"People, objects and abstract concepts",Frank Lloyd Wright is misschien wel de bekendste architect van Amerika.,Frank Lloyd Wright is arguably America’s best known architect.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/architect#Dutch. Example: Nylez (Dutch, https://tatoeba.org/en/sentences/show/10049142) and Hybrid (English, https://tatoeba.org/en/sentences/show/8110419); CC BY 2.0 FR.",B2;production,de,architecten,architectje,,,,,,,,false
arrestatie,arrest,B2,noun,"People, objects and abstract concepts",Met de arrestatie van Sami kwam er een einde aan zijn terreurbewind.,Sami's arrest ended his reign of terror.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/arrestatie#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10737359) and OsoHombre (English, https://tatoeba.org/en/sentences/show/5921239); CC BY 2.0 FR.",B2;production,de,arrestaties,arrestatietje,,,,,,,,false
arrogantie,arrogance,B2,noun,"People, objects and abstract concepts",Zijn arrogantie is niet langer te verdragen.,His arrogance is no longer tolerable.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/arrogantie#Dutch. Example: Vulgaris (Dutch, https://tatoeba.org/en/sentences/show/1033253) and CM (English, https://tatoeba.org/en/sentences/show/285637); CC BY 2.0 FR.",B2;production,de,arroganties,,,,,,,,,false
arts,"physician, doctor",B2,noun,"People, objects and abstract concepts",De arts slaagde er eindelijk in de bloeding te stoppen.,The doctor was finally able to stanch the flow of blood.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/arts#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8094723) and darinmex (English, https://tatoeba.org/en/sentences/show/1979321); CC BY 2.0 FR.",B2;production,de,artsen,artsje,,,,,,,,false
assortiment,assortment,B2,noun,"People, objects and abstract concepts",We hebben ook linzen in ons assortiment.,We also have lentils in our assortment.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/assortiment#Dutch. Example: Dorenda (Dutch, https://tatoeba.org/en/sentences/show/385779) and MUIRIEL (English, https://tatoeba.org/en/sentences/show/379043); CC BY 2.0 FR.",B2;production,het,assortimenten,assortimentje,,,,,,,,false
atlas,atlas,B2,noun,"People, objects and abstract concepts",Een atlas is een verzameling van kaarten.,An atlas is a collection of maps.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/atlas#Dutch. Example: Lingvulo (Dutch, https://tatoeba.org/en/sentences/show/12759783) and eggershead (English, https://tatoeba.org/en/sentences/show/7822728); CC BY 2.0 FR.",B2;production,de,atlassen,,,,,,,,,false
atleet,athlete,B2,noun,"People, objects and abstract concepts",Hij is zonder twijfel de beste atleet van onze school.,He is beyond doubt the best athlete in our school.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/atleet#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/3008601) and jakov (English, https://tatoeba.org/en/sentences/show/295151); CC BY 2.0 FR.",B2;production,de,atleten,atleetje,,,,,,,,false
atmosfeer,atmosphere,B2,noun,"People, objects and abstract concepts","De atmosfeer van Uranus bestaat uit waterstof, helium en methaan.","Uranus' atmosphere is made up of hydrogen, helium, and methane.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/atmosfeer#Dutch. Example: Mandalay (Dutch, https://tatoeba.org/en/sentences/show/6059595) and Hybrid (English, https://tatoeba.org/en/sentences/show/3955721); CC BY 2.0 FR.",B2;production,de,atmosferen,atmosfeertje,,,,,,,,false
audio,audio,B2,noun,"People, objects and abstract concepts","Als een zin nog geen audio heeft, is het omdat niemand er één voor ons heeft opgenomen.","If a sentence doesn't yet have audio, it's because nobody has recorded one for us.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/audio#Dutch. Example: SunnyMoon (Dutch, https://tatoeba.org/en/sentences/show/11223347) and Ylberi (English, https://tatoeba.org/en/sentences/show/4395357); CC BY 2.0 FR.",B2;production,de,audio's,,,,,,,,,false
autisme,autism,B2,noun,"People, objects and abstract concepts",Vaccins veroorzaken geen autisme.,Vaccines don't cause autism.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/autisme#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/12333061) and Hybrid (English, https://tatoeba.org/en/sentences/show/5918815); CC BY 2.0 FR.",B2;production,het,autismen,autismetje,,,,,,,,false
avontuur,adventure,B2,noun,"People, objects and abstract concepts",Yuji vertelde zijn vriend een verhaal over zijn avontuur tijdens de zomervakantie.,Yuji told his friend a story about his adventure during the summer vacation.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/avontuur#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/4653291) and AlanF_US (English, https://tatoeba.org/en/sentences/show/30166); CC BY 2.0 FR.",B2;production,het,avonturen,avontuurtje,,,,,,,,false
baai,bay,B2,noun,"People, objects and abstract concepts",De baai heeft meer jachten dan zeilboten.,The bay has more yachts than sailboats.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/baai#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/7523520) and CK (English, https://tatoeba.org/en/sentences/show/326594); CC BY 2.0 FR.",B2;production,de,baaien,baaitje,,,,,,,,false
baard,beard,B2,noun,"People, objects and abstract concepts",Ik vind dat hij er beter uitziet met een baard.,I think that he looks better with a beard.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/baard#Dutch. Example: Globetrotter (Dutch, https://tatoeba.org/en/sentences/show/3126160) and Hybrid (English, https://tatoeba.org/en/sentences/show/3120967); CC BY 2.0 FR.",B2;production,de,baarden,baardje,,,,,,,,false
bacterie,"bacterium, any member of the domain Bacteria",B2,noun,"People, objects and abstract concepts",Verwar een virus niet met een bacterie.,Do not confuse a virus with a bacterium.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bacterie#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/8735425) and CarpeLanam (English, https://tatoeba.org/en/sentences/show/6767341); CC BY 2.0 FR.",B2;production,de,bacteriën,bacterietje,,,,,,,,false
bak,"drinking vessel, usually a cup or mug",B2,noun,"People, objects and abstract concepts",Ik gebruik een maatbeker bij het bakken.,I use a measuring cup when baking.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bak#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/11563112) and megamanenm (English, https://tatoeba.org/en/sentences/show/11563111); CC BY 2.0 FR.",B2;production,de,bakken,bakje,,,,,,,,false
bakkerij,bakery,B2,noun,"People, objects and abstract concepts",Deze bakkerij heeft de beste gebakjes van de stad.,This bakery has the best pastries in town.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bakkerij#Dutch. Example: meshbags (Dutch, https://tatoeba.org/en/sentences/show/8236997) and meshbags (English, https://tatoeba.org/en/sentences/show/8228465); CC BY 2.0 FR.",B2;production,de,bakkerijen,bakkerijtje,,,,,,,,false
balk,"beam, solid support",B2,noun,"People, objects and abstract concepts",Is de balk massief of hol?,Is the beam solid or hollow?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/balk#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/10541173) and sharptoothed (English, https://tatoeba.org/en/sentences/show/3030970); CC BY 2.0 FR.",B2;production,de,balken,balkje,,,,,,,,false
ballon,hot-air balloon,B2,noun,"People, objects and abstract concepts",De ballon daalde geleidelijk naarmate de lucht eruit kwam.,The balloon descended gradually as the air came out.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/ballon#Dutch. Example: McDutchie (Dutch, https://tatoeba.org/en/sentences/show/812441) and Dejo (English, https://tatoeba.org/en/sentences/show/18250); CC BY 2.0 FR.",B2;production,de,ballonnen / ballons,ballonnetje,,,,,,,,false
bar,"bar, counter, drink cabinet",B2,noun,"People, objects and abstract concepts",Hij zat in zijn eentje aan de bar.,He was sitting at the bar by himself.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bar#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/10358515) and CH (English, https://tatoeba.org/en/sentences/show/8535894); CC BY 2.0 FR.",B2;production,de,bars,barretje,,,,,,,,false
barbecue,barbecue,B2,noun,"People, objects and abstract concepts",We gaan op het strand een barbecue houden.,We'll have a barbecue at the beach.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/barbecue#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/13863096) and CK (English, https://tatoeba.org/en/sentences/show/22180); CC BY 2.0 FR.",B2;production,de,barbecues,barbecuetje,,,,,,,,false
barst,"crack, rip, tear",B2,noun,"People, objects and abstract concepts",Er ontsnapte gas uit een barst in de leiding.,Gas was escaping from a crack in the pipe.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/barst#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/3768120) and spockofvulcan (English, https://tatoeba.org/en/sentences/show/35520); CC BY 2.0 FR.",B2;production,de,barsten,barstje,,,,,,,,false
base,"base, alkali",B2,noun,"People, objects and abstract concepts",Ammoniak is een base.,Ammonia is a base.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/base#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/10018240) and ConqueRRoR (English, https://tatoeba.org/en/sentences/show/3530818); CC BY 2.0 FR.",B2;production,de,basen,basetje,,,,,,,,false
bediening,"attendance, service",B2,noun,"People, objects and abstract concepts","Het eten is goed, en de bediening hier is goed.","The food is good, and service is good here.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bediening#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/836702) and kroko (English, https://tatoeba.org/en/sentences/show/61632); CC BY 2.0 FR.",B2;production,de,bedieningen,bedieninkje,,,,,,,,false
bedrog,"deception, fraud",B2,noun,"People, objects and abstract concepts",Het was duidelijk dat het om een geval van grootschalig bedrog ging.,It was evident that it was a case of large-scale deception.,"No usual plural in this sense. Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bedrog#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,het,,,,,,,,,,false
beek,"brook, creek",B2,noun,"People, objects and abstract concepts",Hij durfde niet over de beek springen.,He did not dare to jump over the creek.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beek#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/4450213) and Will (English, https://tatoeba.org/en/sentences/show/4450284); CC BY 2.0 FR.",B2;production,de,beken,beekje,,,,,,,,false
beest,"animal, a beast",B2,noun,"People, objects and abstract concepts",Het eten verdween in de muil van het beest.,The food disappeared into the beast's maw.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beest#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/13057178) and Teangloir (English, https://tatoeba.org/en/sentences/show/12862517); CC BY 2.0 FR.",B2;production,het,beesten,beestje,,,,,,,,false
beet,bite,B2,noun,"People, objects and abstract concepts",Ik weet niet of ik deze beet van een knut of een mug heb gekregen.,I don't know whether I got this bite from a midge or a mosquito.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beet#Dutch. Example: Slam4 (Dutch, https://tatoeba.org/en/sentences/show/11836267) and AlanF_US (English, https://tatoeba.org/en/sentences/show/8989377); CC BY 2.0 FR.",B2;production,de,beten,beetje,,,,,,,,false
begeleiding,"accompaniment, guidance",B2,noun,"People, objects and abstract concepts",Tom had onze begeleiding niet nodig.,Tom didn't need our guidance.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/begeleiding#Dutch. Example: Nylez (Dutch, https://tatoeba.org/en/sentences/show/10044687) and CK (English, https://tatoeba.org/en/sentences/show/8918780); CC BY 2.0 FR.",B2;production,de,begeleidingen,,,,,,,,,false
begraafplaats,"cemetery, a ground reserved for graves",B2,noun,"People, objects and abstract concepts",Het paard van de begraafplaats is dood.,The horse from the cemetery is dead.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/begraafplaats#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/7319878) and MarijnKp (English, https://tatoeba.org/en/sentences/show/7319873); CC BY 2.0 FR.",B2;production,de,begraafplaatsen,begraafplaatsje,,,,,,,,false
begrafenis,"burial, funeral",B2,noun,"People, objects and abstract concepts",Het is traditie om zwart te dragen op een begrafenis.,It is traditional to wear black to a funeral.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/begrafenis#Dutch. Example: Slam4 (Dutch, https://tatoeba.org/en/sentences/show/11795069) and CK (English, https://tatoeba.org/en/sentences/show/274283); CC BY 2.0 FR.",B2;production,de,begrafenissen,begrafenisje,,,,,,,,false
beheerder,"manager, warden, administrator, curator, steward",B2,noun,"People, objects and abstract concepts","Een president is als een beheerder van een begraafplaats. Hij heeft een hoop mensen onder zich, maar niemand luistert.","A president is like a cemetery manager. He has a lot of people under him, but no one listens.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beheerder#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8610292) and carlosalberto (English, https://tatoeba.org/en/sentences/show/6173849); CC BY 2.0 FR.",B2;production,de,beheerders,beheerdertje,,,,,,,,false
bekentenis,confession,B2,noun,"People, objects and abstract concepts",Yanni schreef zijn bekentenis in het Berbers.,Yanni wrote his confession in Berber.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bekentenis#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10734579) and Amastan (English, https://tatoeba.org/en/sentences/show/9602142); CC BY 2.0 FR.",B2;production,de,bekentenissen,bekentenisje,,,,,,,,false
beker,"beaker, cup, chalice",B2,noun,"People, objects and abstract concepts",Ik moet u vragen om in deze beker te plassen.,I need you to urinate in this cup.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beker#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/9928279) and NurseMeeks (English, https://tatoeba.org/en/sentences/show/9849512); CC BY 2.0 FR.",B2;production,de,bekers,bekertje,,,,,,,,false
belediging,"insult, affront, verbal abuse",B2,noun,"People, objects and abstract concepts",Maria heeft die belediging gewoon weggelachen. Je zou haar moeten nadoen!,"Maria just smiled at this insult, and you should, too.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/belediging#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/6283962) and carlosalberto (English, https://tatoeba.org/en/sentences/show/6168667); CC BY 2.0 FR.",B2;production,de,beledigingen,beledigingetje,,,,,,,,false
bemanning,crew,B2,noun,"People, objects and abstract concepts",Ik ga je aan de rest van de bemanning voorstellen.,I am going to introduce you to the rest of the crew.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bemanning#Dutch. Example: Citrine (Dutch, https://tatoeba.org/en/sentences/show/3039215) and ulyssemc1 (English, https://tatoeba.org/en/sentences/show/619901); CC BY 2.0 FR.",B2;production,de,bemanningen,bemanninkje,,,,,,,,false
bende,"gang, squad",B2,noun,"People, objects and abstract concepts",Hij was betrokken bij een schermutseling met een gewelddadige bende.,He was involved in a skirmish with a violent gang.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bende#Dutch. Example: LinguisticFusion (Dutch, https://tatoeba.org/en/sentences/show/4933625) and Lisandro586 (English, https://tatoeba.org/en/sentences/show/4931764); CC BY 2.0 FR.",B2;production,de,bendes / benden,bendetje,,,,,,,,false
bepaling,provision,B2,noun,"People, objects and abstract concepts",Er was een bepaling in zijn testament voor zijn minnares.,There was a provision in his will for his mistress.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bepaling#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/10641455) and mhattick (English, https://tatoeba.org/en/sentences/show/2582568); CC BY 2.0 FR.",B2;production,de,bepalingen,bepalinkje,,,,,,,,false
beroemdheid,famous individual,B2,noun,"People, objects and abstract concepts","Iedereen wil u ontmoeten, u bent een beroemdheid!",Everyone wants to meet you. You're famous!,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beroemdheid#Dutch. Example: Dorenda (Dutch, https://tatoeba.org/en/sentences/show/378372) and CK (English, https://tatoeba.org/en/sentences/show/1468); CC BY 2.0 FR.",B2;production,de,beroemdheden,beroemdheidje,,,,,,,,false
beschikbaarheid,availability,B2,noun,"People, objects and abstract concepts",De grootste uitdaging voor het project is de beschikbaarheid aan werknemers die de nodige vaardigheden hebben om het project tot een goed einde te brengen.,The biggest challenge to the project will be the availability of workers with the skills required to bring it to fruition.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beschikbaarheid#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/9067588) and patgfisher (English, https://tatoeba.org/en/sentences/show/4239235); CC BY 2.0 FR.",B2;production,de,beschikbaarheden,,,,,,,,,false
beschuldiging,accusation,B2,noun,"People, objects and abstract concepts",Dat is een ernstige beschuldiging.,That's a serious accusation.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beschuldiging#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/6737964) and CK (English, https://tatoeba.org/en/sentences/show/6760658); CC BY 2.0 FR.",B2;production,de,beschuldigingen,beschuldiginkje,,,,,,,,false
besef,"realisation, awareness, sense",B2,noun,"People, objects and abstract concepts",Hij heeft geen besef van goed en kwaad.,He has no sense of right and wrong.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/besef#Dutch. Example: Ag12x (Dutch, https://tatoeba.org/en/sentences/show/8938640) and CM (English, https://tatoeba.org/en/sentences/show/300378); CC BY 2.0 FR.",B2;production,het,beseffen,besefje,,,,,,,,false
beslag,"batter, a relatively fluid dough",B2,noun,"People, objects and abstract concepts",Zijn beslag staat garant voor een geslaagde oliebol.,His batter guarantees a successful Dutch donut.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beslag#Dutch. Example: Nylez (Dutch, https://tatoeba.org/en/sentences/show/8952046) and Nylez (English, https://tatoeba.org/en/sentences/show/9022827); CC BY 2.0 FR.",B2;production,het,beslagen,beslagje,,,,,,,,false
besmetting,"contagion, contamination, infection",B2,noun,"People, objects and abstract concepts",Er is een groot risico op besmetting met hepatitis.,There is a large risk of being infected with hepatitis.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/besmetting#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,de,besmettingen,besmettinkje,,,,,,,,false
besturingssysteem,operating system,B2,noun,"People, objects and abstract concepts",Ik hou niet van de interface van dat besturingssysteem.,I don't like the interface of that operating system.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/besturingssysteem#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/12142965) and deniko (English, https://tatoeba.org/en/sentences/show/8878831); CC BY 2.0 FR.",B2;production,het,besturingssystemen,besturingssysteempje,,,,,,,,false
bestuurder,driver,B2,noun,"People, objects and abstract concepts",Men heeft de bestuurder de schuld van het ongeluk gegeven.,They blamed the driver for the accident.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bestuurder#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8437360) and CK (English, https://tatoeba.org/en/sentences/show/270421); CC BY 2.0 FR.",B2;production,de,bestuurders,bestuurdertje,,,,,,,,false
beugel,dental braces,B2,noun,"People, objects and abstract concepts",Mijn dochter heeft een beugel.,My daughter has braces.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beugel#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/12935268) and CK (English, https://tatoeba.org/en/sentences/show/322885); CC BY 2.0 FR.",B2;production,de,beugels,beugeltje,,,,,,,,false
bevel,"order, command",B2,noun,"People, objects and abstract concepts",Waarom heb je mijn bevel niet opgevolgd?,Why did you disobey my order?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bevel#Dutch. Example: erikv (Dutch, https://tatoeba.org/en/sentences/show/4197459) and CK (English, https://tatoeba.org/en/sentences/show/2643093); CC BY 2.0 FR.",B2;production,het,bevelen,bevelletje,,,,,,,,false
bevrijding,liberation,B2,noun,"People, objects and abstract concepts",Is de dood de enige bevrijding?,Is death the only liberation?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bevrijding#Dutch. Example: Raizin (Dutch, https://tatoeba.org/en/sentences/show/10095624) and AlanF_US (English, https://tatoeba.org/en/sentences/show/3425695); CC BY 2.0 FR.",B2;production,de,bevrijdingen,bevrijdinkje,,,,,,,,false
bewaker,guard,B2,noun,"People, objects and abstract concepts",Gouden golems zijn bewakers die worden gebruikt om schatten te bewaken.,Gold golems are guardians used to guard treasure.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bewaker#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/12947183) and blay_paul (English, https://tatoeba.org/en/sentences/show/457767); CC BY 2.0 FR.",B2;production,de,bewakers,bewakertje,,,,,,,,false
bewering,claim,B2,noun,"People, objects and abstract concepts",Het is een bewering die geen verband houdt met de werkelijkheid.,It's a claim that's got nothing to do with the facts.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bewering#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/10355307) and sundown (English, https://tatoeba.org/en/sentences/show/10352193); CC BY 2.0 FR.",B2;production,de,beweringen,bewerinkje,,,,,,,,false
bewerking,edit,B2,noun,"People, objects and abstract concepts",Die onzinnige bewerking heb ik ongedaan gemaakt.,I reverted that nonsensical edit.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bewerking#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,de,bewerkingen,bewerkinkje,,,,,,,,false
bijbel,bible,B2,noun,"People, objects and abstract concepts",Jakhalzen worden ongeveer een tiental keer genoemd in de Bijbel.,Jackals are mentioned about a dozen times in the Bible.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bijbel#Dutch. Example: Raizin (Dutch, https://tatoeba.org/en/sentences/show/8570494) and AlanF_US (English, https://tatoeba.org/en/sentences/show/8455486); CC BY 2.0 FR.",B2;production,de,bijbels,bijbeltje,,,,,,,,false
